Filename,Instance,Assignments,Total_Profit
gap1.txt,1,"[4, 1, 2, 3, 0, 3, 0, 1, 0, 1, 3, 4, 4, 0, 2]",306.0
gap1.txt,2,"[2, 0, 0, 2, 2, 4, 3, 1, 3, 1, 2, 1, -1, 0, 4]",290.0
gap1.txt,3,"[1, 4, 1, 3, 2, 2, 1, 0, 0, 1, 3, 4, 0, 3, 0]",318.0
gap1.txt,4,"[1, 4, 2, 4, 4, 0, 0, 1, 1, -1, 2, 2, 3, 3, 1]",301.0
gap1.txt,5,"[2, 4, 3, 3, 1, 4, 4, 2, 2, 1, 0, 1, 3, 4, 0]",296.0
gap2.txt,1,"[3, 4, 0, 3, 2, 2, 1, 2, 0, 2, 0, 4, 3, 0, 1, 1, 3, 3, 1, 0]",406.0
gap2.txt,2,"[4, 2, 4, 3, 0, 2, 0, 1, 4, 2, 4, 1, 1, 1, 3, 1, 3, 2, 3, 0]",400.0
gap2.txt,3,"[2, 0, 0, 2, 3, 1, 2, 1, 4, 4, 1, 2, 3, 3, 0, 2, 0, 3, 0, 4]",383.0
gap2.txt,4,"[3, 0, 2, 2, 3, 3, 3, 2, 0, 2, 1, 2, 4, 0, 1, 4, 4, 0, 3, 1]",376.0
gap2.txt,5,"[1, 4, 0, 4, 0, 1, 1, 0, 2, 4, 1, 3, 4, 3, 3, 3, 2, 1, 3, 0]",399.0
gap3.txt,1,"[4, 1, 0, 3, 0, 4, 2, 0, 2, 3, 2, 4, 0, 3, 0, 0, 1, 2, 2, 0, 3, 3, 4, 2, 4]",540.0
gap3.txt,2,"[3, 2, 2, 4, 4, 3, 3, 3, 1, 0, 0, 4, 1, 4, 0, 3, 0, 0, 1, 2, 1, 3, 4, 4, 1]",514.0
gap3.txt,3,"[3, 3, 0, 0, 0, 3, 2, 1, 4, 4, 0, 3, 2, 0, 1, 4, 3, 2, 1, 3, 3, 0, 1, 1, 2]",521.0
gap3.txt,4,"[1, 3, 4, 0, 2, 1, 4, 2, 3, 1, 3, 2, 0, 3, 2, 0, 3, 1, 3, 4, 0, 3, 1, 0, 1]",517.0
gap3.txt,5,"[2, 0, 1, 4, 2, 3, 0, 2, 4, 2, 4, 1, 3, 4, 2, 0, 2, 4, 1, 1, 4, 3, 1, 1, 2]",515.0
gap4.txt,1,"[0, 4, 2, 4, 1, 3, 0, 2, 0, 2, 1, 4, 1, 3, 4, 1, 3, 1, 2, 4, 4, 3, 1, 3, 3, 2, 2, 0, 1, 4]",604.0
gap4.txt,2,"[0, 3, 2, 0, 1, 2, 2, 3, 3, 1, 0, 1, 4, 3, 1, 4, 1, 1, 1, 3, 3, 4, 2, 2, 4, 0, 3, 0, 4, 3]",572.0
gap4.txt,3,"[3, 4, 0, 0, 0, 0, 3, 0, 0, 2, 2, 3, 1, 1, 2, 4, 3, 2, 3, 3, 3, 2, 2, 2, 1, 3, 1, 4, 4, 1]",623.0
gap4.txt,4,"[2, 1, 1, 3, 2, 1, 0, 0, 4, 1, 4, 2, 0, 0, 4, 4, 2, 4, 2, 4, 0, 3, 4, 3, 4, 1, 1, 2, 2, 0]",593.0
gap4.txt,5,"[1, 2, 4, 2, 2, 1, 3, 0, 1, 2, 3, 1, 3, 4, 1, 3, 2, 4, 0, 2, 3, 0, 4, 3, 4, 0, 0, 2, 0, 3]",611.0
gap5.txt,1,"[7, 7, 5, 4, 6, 1, 4, 2, 3, 6, 1, 2, 1, 4, 0, 5, 4, 5, 1, 6, 7, 3, 4, 1]",504.0
gap5.txt,2,"[5, 2, 2, 3, 3, 4, 3, 4, 1, 1, 5, 7, 5, 6, 1, 4, 5, 3, 7, 7, 1, 3, 3, 4]",489.0
gap5.txt,3,"[7, 3, 4, 3, 1, 3, 4, 2, 0, 6, 0, 5, 0, 5, 2, 4, 5, 3, 4, 3, 2, 1, 5, 4]",503.0
gap5.txt,4,"[3, 2, 2, 4, 3, 0, 4, 3, 2, 2, 4, 5, 7, 7, 0, 4, 1, 2, 3, 1, 0, 5, 0, 5]",527.0
gap5.txt,5,"[2, 0, 5, 3, 6, 2, 6, 4, 1, 2, 4, 3, 0, 1, 6, 6, 2, 7, 1, 7, 1, 4, 3, 2]",508.0
gap6.txt,1,"[4, 6, 7, 6, 1, 0, 0, 6, 4, 7, 7, 3, 5, 4, 4, 3, 1, 7, 1, 1, 7, 4, 1, 6, 5, 4, 5, 6, 7, 5, 2, 1]",678.0
gap6.txt,2,"[4, 0, 7, 0, 7, 2, 6, 0, 7, 3, 4, 0, 4, 5, 6, 1, 4, 1, 2, 0, 3, 3, 6, 2, 2, 2, 3, 5, 6, 5, 7, 3]",669.0
gap6.txt,3,"[0, 4, 7, 4, 1, 4, 2, 4, 0, 4, 7, 1, 6, 6, 0, 3, 5, 2, 0, 6, 7, 6, 3, 7, 2, 6, 2, 3, 5, 3, 6, 5]",663.0
gap6.txt,4,"[4, 2, 2, 3, 7, 0, 2, 3, 7, 0, 1, 5, 7, 5, 4, 3, 0, 3, 1, 2, 7, 1, 6, 2, 4, 0, 3, 7, 1, 0, 0, 2]",666.0
gap6.txt,5,"[0, 7, 7, 3, 2, 4, 7, 5, 0, 6, 0, 0, 4, 6, 6, 4, 5, 0, 5, 7, 3, 3, 1, 6, 6, 4, 3, 2, 6, 2, 3, 5]",674.0
gap7.txt,1,"[7, 1, 4, 4, 4, 2, 4, 1, 5, 6, 3, 4, 5, 5, 1, 5, 2, 1, 4, 0, 7, 7, 1, 7, 5, 7, 3, 1, 2, 4, 7, 1, 6, 7, 3, 4, 3, 6, 3, 6]",857.0
gap7.txt,2,"[2, 4, 0, 7, 3, 7, 0, 5, 0, 2, 6, 5, 3, 7, 1, 7, 4, 0, 3, 6, 5, 6, 4, 1, 7, 6, 1, 6, 6, 5, 7, 5, 5, 4, 4, 1, 0, 6, 7, 3]",840.0
gap7.txt,3,"[7, 6, 7, 2, 0, 2, 5, 0, 3, 6, 6, 7, 2, 7, 3, 4, 3, 1, 0, 6, 4, 0, 3, 0, 0, 6, 2, 7, 0, 4, 6, 6, 2, 1, 2, 5, 5, 3, 5, 1]",859.0
gap7.txt,4,"[4, 1, 0, 1, 7, 5, 4, 1, 4, 5, 7, 6, 4, 6, 3, 2, 4, 6, 6, 6, 5, 5, 1, 2, 2, 5, 0, 3, 7, 6, 5, 1, 6, 3, 1, 1, 3, 7, 2, 2]",827.0
gap7.txt,5,"[5, 1, 0, 4, 7, 6, 2, 1, 5, 5, 4, 1, 5, 3, 7, 4, 7, 4, 0, 4, 4, 4, 1, 2, 7, 7, 7, 1, 5, 5, 2, 5, 4, 6, 1, 3, 1, 0, 3, 0]",836.0
gap8.txt,1,"[0, 0, 1, 3, 5, 5, 2, 5, 3, 0, 2, 0, 1, 3, 7, 5, 7, 2, 0, 5, 4, 2, 5, 6, 6, 4, 4, 7, 4, 4, 2, 1, 2, 4, 1, 5, 7, 3, 4, 5, 0, 3, 7, 0, 1, 2, 7, 4]",1057.0
gap8.txt,2,"[5, 5, 7, 3, 0, 1, 0, 1, 2, 7, 2, 0, 5, 2, 4, 3, 7, 1, 7, 6, 5, 6, 0, 3, 2, 1, 3, 2, 6, 5, 7, 6, 6, 2, 4, 2, 4, 6, 3, 7, 7, 6, 0, 4, 5, 5, 0, 0]",1038.0
gap8.txt,3,"[0, 4, 3, 7, 4, 0, 6, 0, 4, 0, 5, 6, 2, 2, 3, 6, 4, 0, 1, 6, 0, 1, 3, 3, 1, 6, 7, 2, 7, 1, 6, 2, 3, 3, 2, 1, 0, 5, 4, 4, 4, 5, 1, 5, 1, 1, 4, 2]",1030.0
gap8.txt,4,"[5, 0, 6, 6, 0, 3, 2, 2, 4, 7, 4, 1, 1, 2, 5, 5, 7, 6, 0, 4, 6, 3, 6, 1, 0, 1, 7, 4, 5, 3, 2, 2, 3, 3, 2, 4, 1, 6, 3, 3, 7, 0, 1, 0, 2, 0, 6, 6]",1023.0
gap8.txt,5,"[1, 4, 4, 1, 5, 3, 0, 5, 6, 1, 2, 5, 3, 7, 6, 5, 7, 0, 5, 1, 6, 2, 0, 2, 6, 4, 1, 0, 4, 7, 2, 7, 7, 2, 5, 7, 5, 3, 6, 4, 7, 2, 6, 3, 2, 0, 6, 4]",1007.0
gap9.txt,1,"[0, 9, 9, 6, 7, 7, 8, 2, 6, 5, 8, 4, 1, 7, 1, 6, 1, 5, 3, 8, 2, 2, 6, 5, 9, 9, 9, 2, 3, 7]",632.0
gap9.txt,2,"[2, 3, 0, 6, 7, 9, 9, 0, 5, 3, 6, 2, 5, 3, 4, 6, 2, 1, 6, 6, 9, 9, 9, 4, 8, 5, 1, 4, 5, 2]",639.0
gap9.txt,3,"[5, 2, 9, 2, 7, 3, 5, 4, 9, 4, 8, 3, 6, 7, 0, 5, 2, 1, 4, 3, 5, 1, 6, 4, 6, 1, 3, 6, 4, 1]",646.0
gap9.txt,4,"[9, 4, 1, 1, 4, 7, 5, 5, 4, 5, 7, 2, 3, 1, 4, 0, 3, 1, 9, 6, 6, 3, 4, 0, 6, 2, 2, 3, 8, 1]",665.0
gap9.txt,5,"[6, 1, 2, 6, 0, 8, 2, 9, 5, 7, 7, 6, 9, 1, 8, 9, 5, 2, 7, 9, 1, 6, 0, 2, 5, 9, 5, 1, 3, 1]",623.0
gap10.txt,1,"[4, 4, 2, 5, 3, 0, 4, 4, 7, 3, 1, 7, 8, 2, 2, 3, 0, 7, 6, 5, 6, 4, 8, 2, 3, 1, 4, 2, 6, 3, 1, 0, 6, 7, 3, 1, 2, 5, 1, 4]",884.0
gap10.txt,2,"[5, 3, 8, 6, 0, 5, 2, 8, 6, 7, 9, 1, 6, 7, 7, 2, 5, 1, 0, 7, 9, 8, 4, 3, 9, 7, 1, 3, 4, 9, 5, 0, 6, 2, 0, 0, 9, 2, 5, 6]",836.0
gap10.txt,3,"[0, 4, 7, 5, 3, 3, 5, 9, 9, 6, 0, 8, 1, 7, 3, 5, 6, 7, 3, 5, 4, 0, 5, 8, 9, 0, 7, 8, 5, 7, 1, 7, 1, 2, 0, 4, 8, 6, 6, 2]",884.0
gap10.txt,4,"[6, 2, 8, 2, 1, 7, 0, 0, 9, 4, 4, 5, 1, 6, 0, 3, 8, 3, 5, 2, 8, 5, 7, 3, 3, 8, 7, 6, 8, 4, 3, 4, 7, 6, 0, 1, 6, 8, 4, 1]",833.0
gap10.txt,5,"[3, 7, 4, 3, 1, 9, 2, 0, 3, 4, 2, 2, 9, 0, 7, 2, 3, 5, 6, 3, 0, 4, 4, 8, 2, 0, 0, 1, 1, 2, 1, 9, 1, 4, 4, 0, 6, 4, 9, 8]",846.0
gap11.txt,1,"[6, 4, 0, 2, 4, 1, 8, 5, 3, 2, 9, 1, 9, 9, 4, 4, 0, 5, 4, 5, 6, 4, 1, 5, 7, 9, 0, 9, 2, 5, 3, 3, 3, 6, 7, 8, 0, 9, 8, 6, 3, 0, 0, 0, 0, 4, 4, 8, 3, 9]",1007.0
gap11.txt,2,"[0, 7, 2, 3, 1, 3, 0, 7, 1, 9, 5, 8, 9, 3, 0, 2, 3, 7, 9, 5, 1, 5, 7, 1, 9, 2, 3, 1, 5, 8, 9, 8, 3, 4, 9, 4, 0, 3, 4, 6, 4, 6, 0, 2, 5, 7, 9, 7, 3, 9]",1035.0
gap11.txt,3,"[9, 8, 0, 6, 6, 3, 5, 1, 3, 2, 5, 0, 7, 1, 8, 4, 6, 1, 6, 1, 7, 6, 1, 4, 7, 9, 9, 0, 6, 2, 2, 2, 4, 8, 6, 4, 9, 8, 8, 2, 1, 7, 9, 0, 1, 5, 7, 2, 9, 4]",1085.0
gap11.txt,4,"[8, 3, 9, 8, 3, 6, 0, 6, 2, 4, 0, 3, 9, 5, 5, 9, 9, 2, 9, 7, 2, 3, 6, 7, 8, 3, 8, 8, 0, 1, 1, 2, 1, 8, 6, 8, 0, 8, 7, 2, 5, 1, 7, 6, 7, 8, 0, 1, 0, 6]",1011.0
gap11.txt,5,"[7, 7, 7, 3, 9, 9, 0, 8, 6, 1, 8, 2, 3, 5, 0, 5, 0, 7, 5, 9, 4, 6, 8, 4, 7, 6, 6, 5, 4, 5, 6, 4, 7, 9, 2, 9, 3, 5, 4, 9, 4, 6, 1, 3, 2, 2, 6, 3, 7, 5]",1014.0
gap12.txt,1,"[6, 4, 2, 7, 3, 9, 4, 3, 0, 4, 2, 8, 3, 4, 6, 9, 8, 0, 7, 3, 1, 6, 2, 2, 3, 9, 3, 9, 7, 3, 2, 0, 9, 1, 8, 4, 7, 8, 0, 9, 5, 1, 5, 8, 1, 6, 2, 0, 6, 2, 1, 4, 1, 7, 1, 3, 3, 8, 1, 8]",1320.0
gap12.txt,2,"[2, 0, 0, 5, 1, 6, 3, 0, 0, 8, 9, 5, 4, 6, 6, 9, 8, 5, 4, 8, 3, 6, 7, 9, 6, 2, 1, 4, 6, 3, 0, 8, 7, 1, 2, 7, 4, 2, 0, 9, 1, 4, 1, 1, 5, 3, 6, 3, 7, 8, 1, 0, 9, 2, 5, 3, 0, 1, 3, 4]",1308.0
gap12.txt,3,"[4, 8, 9, 5, 3, 9, 5, 5, 6, 7, 6, 8, 2, 3, 7, 5, 3, 5, 4, 7, 5, 7, 6, 7, 0, 7, 0, 6, 6, 1, 3, 8, 0, 6, 8, 9, 3, 0, 4, 1, 7, 7, 2, 2, 0, 6, 4, 7, 5, 5, 3, 0, 9, 4, 9, 5, 5, 2, 9, 7]",1271.0
gap12.txt,4,"[9, 8, 3, 2, 0, 2, 1, 4, 6, 2, 4, 2, 3, 1, 9, 9, 3, 3, 2, 0, 3, 4, 9, 0, 7, 3, 1, 9, 6, 1, 3, 6, 8, 0, 7, 4, 3, 3, 8, 2, 9, 9, 8, 8, 5, 0, 4, 6, 6, 8, 5, 2, 8, 9, 8, 1, 1, 0, 4, 9]",1297.0
gap12.txt,5,"[2, 2, 9, 3, 4, 4, 2, 9, 8, 8, 1, 8, 9, 2, 0, 9, 2, 1, 3, 3, 0, 9, 6, 1, 9, 3, 4, 3, 6, 0, 4, 0, 9, 2, 8, 6, 3, 6, 8, 5, 1, 5, 8, 2, 0, 7, 9, 3, 0, 8, 9, 4, 3, 6, 6, 5, 5, 1, 2, 6]",1288.0
